akeed_order_id,customer_id,item_count,grand_total,grand_total_php,deliverydistance,preparationtime,LOCATION_NUMBER,vendor_id,vendor_name,vendor_rating,compound_score_conv
238195,1FPV21D,1,10.1,565.6,9.34,55,0,1,Kulpy Chicken,5,1
238706,P88664K,1,9,504,8.43,40,1,7,Angel's Pasta,5,1
238883,MSMMS6T,1,8.2,459.2,11.56,60,0,6,WaffleTime,3,1
239094,6G767FI,1,7.9,442.4,12.54,55,0,2,Burger King,5,1
239356,UQ1D9YH,2,4.6,257.6,0.44,35,2,8,Ayumers,5,1
239477,7HUS611,1,8.2,459.2,6.58,45,1,2,Burger King,5,1
239541,RVSLQ3B,1,7.6,425.6,6.09,40,0,8,Ayumers,1,1
239855,8PF99GI,3,10.1,565.6,8.67,45,0,3,KFC,5,1
240001,TLUSUNC,1,4.3,240.8,11.06,50,0,8,Ayumers,5,1
240012,JQ5TSU8,1,7.6,425.6,8.26,45,0,6,WaffleTime,4,1
240227,5G24YBT,1,5.7,319.2,13.85,50,0,2,Burger King,5,1
240334,UGBWSU9,5,13.3,744.8,3.07,35,2,8,Ayumers,1,1
240509,E9QLAHC,1,9.8,548.8,6.06,40,0,4,Lolo Thomas' Catering,5,1
240517,OERJ99H,6,26.9,1506.4,8.27,40,1,7,Angel's Pasta,5,1
240601,N4DNCPE,1,7.9,442.4,6.03,40,0,6,WaffleTime,3,1
240612,ZZ66LJK,3,9.5,532,7.05,40,0,9,GrilledUp,5,1
240659,46W8Z2P,6,20.4,1142.4,12.55,55,0,2,Burger King,5,1
240685,N0TOFMH,2,6.5,364,1.22,35,0,6,WaffleTime,5,1
240723,VDQ9Z6L,1,10.1,565.6,3.71,40,0,8,Ayumers,4,1
240750,6U1D3FI,1,40,2240,12.51,65,0,2,Burger King,5,1
240783,170R0AB,3,11.1,621.6,7.61,45,1,1,Kulpy Chicken,5,1
240839,739EXYL,3,9,504,4.14,40,1,2,Burger King,5,1
240918,3WSGBBJ,3,37.5,2100,14.1,55,0,2,Burger King,5,1
241007,OT09PVK,1,4.1,229.6,7.43,45,1,7,Angel's Pasta,3,1
241068,4BMCRKJ,1,9.8,548.8,6.22,65,0,2,Burger King,3,1
241084,HSKCXYG,1,9,504,7.32,65,1,5,Mcdo,4,1
241149,ERHDNJI,3,13.3,744.8,10.38,85,0,4,Lolo Thomas' Catering,5,1
241243,IRPSTIF,3,14.4,806.4,5.03,65,1,5,Mcdo,5,1
241294,4R0RGFU,1,3.8,212.8,7.46,70,2,2,Burger King,5,1
241297,TLUSUNC,1,4.3,240.8,11.06,75,0,8,Ayumers,5,1
241334,XXCSUR6,2,12.5,700,9.71,70,2,9,GrilledUp,4,1
241336,NSMGUEJ,3,11.7,655.2,1.27,60,0,7,Angel's Pasta,5,1
241385,H640WJU,5,23.4,1310.4,9.23,65,1,5,Mcdo,5,1
241397,YXGEAPC,3,14.1,789.6,5.86,70,1,9,GrilledUp,5,1
241529,S1TZJHR,1,7.1,397.6,0.57,60,0,8,Ayumers,4,1
241531,NUSTDRB,1,7.6,425.6,9.31,65,2,7,Angel's Pasta,5,1
241586,8C8SXGL,4,21.2,1187.2,3.52,65,0,3,KFC,2,1
241640,VXVJUE7,2,11.4,638.4,8.35,45,1,9,GrilledUp,3,1
241817,XF35APQ,2,10.1,565.6,12.6,50,1,9,GrilledUp,5,1
242248,OVXWFT1,1,6.3,352.8,3.34,35,2,7,Angel's Pasta,5,1
242348,BQMRSTQ,1,7.1,397.6,3.96,40,0,3,KFC,5,1
242437,TBVM8ND,2,12.8,716.8,8.46,50,2,8,Ayumers,5,1
242439,2W8Z5TQ,8,100.2,5611.2,2.4,40,2,1,Kulpy Chicken,5,1
242535,0ORMDCX,3,19,1064,1.8,30,4,1,Kulpy Chicken,5,1
242539,YDUTFY0,1,6.8,380.8,11.37,50,1,9,GrilledUp,4,1
242555,WGW04WI,2,10.1,565.6,9.72,45,1,9,GrilledUp,5,1
242596,739EXYL,2,17.1,957.6,14.39,50,1,2,Burger King,5,1
242599,FOQPLSU,4,16.9,946.4,8.91,45,0,4,Lolo Thomas' Catering,1,1
242636,4R0RGFU,1,3.8,212.8,7.46,45,2,2,Burger King,5,1
242642,6U9HJ1O,2,12.2,683.2,5.79,40,0,2,Burger King,5,1
242869,CKQNQ8Z,4,10.9,610.4,8.92,50,0,4,Lolo Thomas' Catering,5,1
242877,ZHVX0W7,4,16.9,946.4,5.76,40,0,9,GrilledUp,5,1
242938,HUNKAD7,1,3.8,212.8,9.45,50,1,5,Mcdo,5,1
243222,7GYGZIS,2,12.7,711.2,1.69,40,0,2,Burger King,5,1
243485,PDM67P3,2,9,504,9.61,45,1,7,Angel's Pasta,4,1
243627,FBKYXMK,2,12.8,716.8,8.67,45,2,4,Lolo Thomas' Catering,5,1
243724,P7ZN0GW,1,26.1,1461.6,6.63,50,0,7,Angel's Pasta,5,1
243730,21H2W2V,3,39.1,2189.6,12.04,50,1,1,Kulpy Chicken,5,1
243788,ZCP73QX,5,56.5,3164,13.37,60,1,9,GrilledUp,4,1
243812,N878GS0,3,15.8,884.8,10.25,60,1,6,WaffleTime,1,1
243837,R10OW1F,6,75,4200,5.69,45,3,7,Angel's Pasta,5,1
243843,J42O2XT,3,8.2,459.2,1.84,35,0,5,Mcdo,5,0
243859,MQ2JYU1,1,14.1,789.6,5.46,45,2,6,WaffleTime,5,1
243880,Y558GCB,3,19.6,1097.6,8.29,50,0,9,GrilledUp,5,1
244004,5G24YBT,2,14.1,789.6,11.56,45,0,2,Burger King,5,1
